equalContribution,appreciation,cooperation,freedom,equality,SocialOrder,Influence,size,isEff,femalePercent,IntrovertPercent,IntuitionPercent,ThinkingPercent,JudgementPercent
No,No,No,Yes,No,No,Negative,4,Mod,FPLow,IELow,INLow,TFHigh,JPHigh
No,No,No,No,No,No,Negative,4,Mod,FPHigh,IELow,INLow,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,3,Mod,FPHigh,IEHigh,INHigh,TFLow,JPHigh
No,No,No,Yes,No,No,Negative,4,Mod,FPHigh,IELow,INLow,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,4,No,FPHigh,IELow,INHigh,TFLow,JPLow
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,3,No,FPLow,IELow,INHigh,TFHigh,JPHigh
No,No,No,Yes,No,No,Negative,3,Mod,FPLow,IELow,INHigh,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Positive,3,Mod,FPHigh,IELow,INHigh,TFLow,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,3,Yes,FPLow,IEHigh,INLow,TFLow,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,3,Yes,FPLow,IEHigh,INHigh,TFHigh,JPHigh
No,No,No,Yes,No,No,Negative,4,No,FPHigh,IELow,INHigh,TFLow,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Positive,4,Yes,FPHigh,IEHigh,INLow,TFHigh,JPHigh
No,No,No,No,No,No,Negative,4,No,FPHigh,IELow,INHigh,TFLow,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,3,Yes,FPHigh,IEHigh,INHigh,TFLow,JPLow
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,3,Yes,FPHigh,IEHigh,INHigh,TFLow,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Positive,4,Yes,FPHigh,IEHigh,INLow,TFHigh,JPHigh
No,Yes,Yes,Yes,No,Yes,Neutral,3,Yes,FPLow,IEHigh,INLow,TFHigh,JPHigh
No,No,No,No,No,No,Negative,3,No,FPHigh,IELow,INLow,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,4,Yes,FPLow,IEHigh,INHigh,TFHigh,JPHigh
No,Yes,No,No,No,No,Neutral,3,Yes,FPHigh,IEHigh,INLow,TFHigh,JPHigh
No,No,No,Yes,No,No,Negative,4,No,FPHigh,IELow,INHigh,TFLow,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,4,Yes,FPHigh,IEHigh,INLow,TFHigh,JPHigh
Yes,No,No,No,Yes,No,Neutral,3,Mod,FPLow,IELow,INHigh,TFHigh,JPLow
Yes,Yes,Yes,Yes,Yes,Yes,Positive,4,Mod,FPLow,IELow,INHigh,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Negative,3,No,FPHigh,IELow,INLow,TFLow,JPLow
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,3,Yes,FPLow,IELow,INLow,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Positive,3,Yes,FPHigh,IEHigh,INLow,TFLow,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,3,Mod,FPHigh,IELow,INHigh,TFHigh,JPLow
No,No,No,Yes,No,No,Negative,3,Mod,FPHigh,IELow,INLow,TFLow,JPHigh
Yes,Yes,No,Yes,No,Yes,Positive,3,Yes,FPLow,IEHigh,INHigh,TFLow,JPHigh
No,No,No,No,No,No,Negative,3,Mod,FPLow,IELow,INHigh,TFLow,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Positive,3,Yes,FPHigh,IEHigh,INLow,TFLow,JPHigh
No,No,No,No,No,No,Negative,3,No,FPLow,IELow,INLow,TFHigh,JPHigh
No,Yes,Yes,Yes,Yes,Yes,Neutral,4,Yes,FPHigh,IEHigh,INHigh,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,3,Yes,FPHigh,IEHigh,INHigh,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,4,Yes,FPLow,IEHigh,INHigh,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,4,Yes,FPLow,IEHigh,INHigh,TFHigh,JPLow
No,No,No,No,No,No,Negative,4,Mod,FPLow,IELow,INHigh,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Positive,4,Yes,FPHigh,IEHigh,INLow,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,3,Yes,FPHigh,IEHigh,INLow,TFLow,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Positive,3,Yes,FPLow,IELow,INLow,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,3,Yes,FPLow,IEHigh,INLow,TFLow,JPHigh
No,No,No,No,No,No,Negative,3,Mod,FPHigh,IELow,INHigh,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Positive,3,Yes,FPHigh,IEHigh,INHigh,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Positive,4,Yes,FPHigh,IEHigh,INHigh,TFLow,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Positive,4,Yes,FPHigh,IEHigh,INHigh,TFHigh,JPHigh
No,Yes,Yes,Yes,No,Yes,Neutral,3,Mod,FPHigh,IELow,INLow,TFLow,JPHigh
